category,year,percentage
large,1990,0.6754001580464393
large,1991,0.6459624523515348
large,1992,0.6334214757431202
large,1993,0.6410059691613209
large,1994,0.6704615441248303
large,1995,0.6505507534676308
large,1996,0.6508197252498977
large,1997,0.667297053141902
large,1998,0.6713219458477316
large,1999,0.6895370406577185
large,2000,0.6975605054188855
large,2001,0.6867149550517088
large,2002,0.6559049867435661
large,2003,0.6189290556773066
large,2004,0.6150496896558423
large,2005,0.6146870978251728
large,2006,0.6176193476221742
large,2007,0.6162086746016526
large,2008,0.6078086999693685
large,2009,0.6115207166803598
medium,1990,0.6754001580464393
medium,1991,0.6459624523515348
medium,1992,0.6334214757431202
medium,1993,0.6410059691613209
medium,1994,0.6704615441248303
medium,1995,0.6505507534676308
medium,1996,0.6508197252498977
medium,1997,0.667297053141902
medium,1998,0.6713219458477316
medium,1999,0.6895370406577185
medium,2000,0.6975605054188855
medium,2001,0.6867149550517088
medium,2002,0.6559049867435661
medium,2003,0.6189290556773066
medium,2004,0.6150496896558423
medium,2005,0.6146870978251728
medium,2006,0.6176193476221742
medium,2007,0.6162086746016526
medium,2008,0.6078086999693685
medium,2009,0.6115207166803598
small,1990,0.6754001580464393
small,1991,0.6459624523515348
small,1992,0.6334214757431202
small,1993,0.6410059691613209
small,1994,0.6704615441248303
small,1995,0.6505507534676308
small,1996,0.6508197252498977
small,1997,0.667297053141902
small,1998,0.6713219458477316
small,1999,0.6895370406577185
small,2000,0.6975605054188855
small,2001,0.6867149550517088
small,2002,0.6559049867435661
small,2003,0.6189290556773066
small,2004,0.6150496896558423
small,2005,0.6146870978251728
small,2006,0.6176193476221742
small,2007,0.6162086746016526
small,2008,0.6078086999693685
small,2009,0.6115207166803598
nonhub,1990,0.6754001580464393
nonhub,1991,0.6459624523515348
nonhub,1992,0.6334214757431202
nonhub,1993,0.6410059691613209
nonhub,1994,0.6704615441248303
nonhub,1995,0.6505507534676308
nonhub,1996,0.6508197252498977
nonhub,1997,0.667297053141902
nonhub,1998,0.6713219458477316
nonhub,1999,0.6895370406577185
nonhub,2000,0.6975605054188855
nonhub,2001,0.6867149550517088
nonhub,2002,0.6559049867435661
nonhub,2003,0.6189290556773066
nonhub,2004,0.6150496896558423
nonhub,2005,0.6146870978251728
nonhub,2006,0.6176193476221742
nonhub,2007,0.6162086746016526
nonhub,2008,0.6078086999693685
nonhub,2009,0.6115207166803598
